일자,제목
0,20220222,"""탕탕 으악"" 어디서 쏘나 했더니 게임핵 판매책 20대 집행유예"
1,20220218,게임 조작 프로그램 수억원대 유통한 20대 집행유예
2,20220218,"'게임핵' 7억원 어치 불법판매, 집행유예"
3,20220218,불법 게임 조작 프로그램 7억여원어치 유통 20대 집행유예
4,20220218,불법 게임 조작 프로그램 유통한 20대 집행유예
5,20210210,"""게임을 글로 배운 판결"" '에임핵'이 악성프로그램 아니라는 대법원에 의문 품은 판사"
6,20201112,"김경협, 게임산업진흥에 관한 법률 개정안 발의"
7,20201003,"""핵 때문에 못해먹겠다!"" 배그 떠나는 유저들"
8,20200625,배틀그라운드 ‘핵과의 전쟁’ 선포
9,20200625,“도저히 못 참겠다!” 배그 ‘핵’과의 전쟁[IT선빵!]
10,20200521,`배그` 부정 프로그램 팔아 수억 챙긴 일당 집행유예 벌금형
11,20191120,"피해액만 2.5조원 ""배그가 망하면 '핵' 때문이다"""
12,20191117,'배틀그라운드' 불법 핵 제작 판매한 10대 벌금형
13,20191117,유명 게임 '조작 프로그램' 제작 판매 10대 벌금형
14,20191117,'배틀그라운드' 불법 핵 제작 판매한 10대 벌금형
15,20191117,배틀그라운드 '무반동 핵' 제작 판매한 10대 벌금 300만원
16,20191106,"배틀그라운드 게임핵 팔아 2억 번 회사원, 징역형"
17,20190219,'배틀그라운드 불법 핵' 기자가 직접 구매해보니 
18,20190218,"""1주일동안 16만 계정 적발"" 배틀그라운드(배그) 핵 사용자 16만4천710명 제재"
19,20181220,"배틀그라운드(배그) 수그러들지 않는 '핵' 논란, 올해 중국에서만 235명 검거 ""한국에서도 17명 붙잡아"""
